"번호","콘텐츠영역","목록페이지제목","목록URL","최신게시물제목","최신게시일","기준일","3개월기준일","경과기간","판정","비고"
"1","연구동향 월간리포트","목록 | 연구동향 월간리포트","https://www.nihhs.go.kr/farmer/techInfo/rctAgriTechList.do?mc=MN0000000024","원예특작분야 연구동향 월간리포트 189호","2026-07-28","2026-08-26","2026-05-26","29일","정상",""
"2","기술정보","목록 | 기술정보","https://www.nihhs.go.kr/usr/nihhs/news_Public_list.do?mc=MN0000000025","원예·특용작물 기술정보 제158호","2026-08-04","2026-08-26","2026-05-26","22일","정상",""
"3","주간농사정보","목록 | 주간농사정보","https://www.nihhs.go.kr/farmer/techInfo/weekFarmerInfo.do?mc=MN0000000030","주간농사정보 제 34호","2026-08-19","2026-08-26","2026-05-26","7일","정상",""
"4","주요연구성과(연보)","목록 | 주요연구성과(연보)","https://www.nihhs.go.kr/farmer/rdRslt/rdMajorRsltList.do?mc=MN0000000039","2025 원예특작시험연구 연보","2025","2026-08-26","2026-05-26","약 8개월","게시 최신성 지연","연례 간행물"
"5","품종정보","채소 | 목록 | 품종정보","https://www.nihhs.go.kr/farmer/rdRslt/newBreedInfo.do?mc=MN0000000040","원교30-20호(Wongyo30-20ho)","2025","2026-08-26","2026-05-26","약 8개월","게시 최신성 지연","비정기 등록"
"6","영농활용","목록 | 영농활용","https://www.nihhs.go.kr/farmer/rdRslt/rdFarmingApplyList.do?mc=MN0000000041","골드키위 '감황'의 꽃봉오리 발생 양상에 다른 솎기 방법","2025","2026-08-26","2026-05-26","약 8개월","게시 최신성 지연","비정기 등록"
"7","시험연구보고서","시험연구보고서","https://www.nihhs.go.kr/usr/farmer/examResearchReportList.do?mc=MN0000000046","헬스케어 식물 발굴 및 소재 규격화 기술 개발","2026","2026-08-26","2026-05-26","판단불가","담당자 확인 필요","연도만 표기됨"
"8","공지사항","공지사항","https://www.nihhs.go.kr/usr/nihhs/news_Notice_list.do?mc=MN0000000135","원예원 주간 주요업무일정","2026-08-24","2026-08-26","2026-05-26","2일","정상",""
"9","보도자료","보도자료","https://www.nihhs.go.kr/usr/nihhs/news_Press_list.do?mc=MN0000000136","“건강한 양파 모종, 씨 뿌리는 시기·초기 싹 틔우기가 좌우”","2026-08-23","2026-08-26","2026-05-26","3일","정상",""
"10","행사앨범","행사앨범","https://www.nihhs.go.kr/usr/nihhs/news_Album_list.do?mc=MN0000000138","배 주산지 나주와 '설원' 전문생산단지 조성 업무협약","2026-08-13","2026-08-26","2026-05-26","13일","정상",""
"11","일반자료실","목록 | 일반자료실 | 과학원소식 | 기관소개","https://www.nihhs.go.kr/usr/persnal/Pds_list.do?mc=MN0000000140","시각장애인을 위한 PDF 파일 다운로드 서비스 시범 운영","2025-11-04","2026-08-26","2026-05-26","295일","게시 최신성 지연",""
