"번호","시스템구분","점검방법","페이지제목(실제)","URL","실제접속상태","판정","비고"
"1","대표홈페이지","HTTP 직접요청","공지사항 | 과학원소식 | 기관소개 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/usr/nihhs/news_Notice_list.do?mc=MN0000000135","정상(200)","정상",""
"2","대표홈페이지","HTTP 직접요청","보도자료 | 과학원소식 | 기관소개 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/usr/nihhs/news_Press_list.do?mc=MN0000000136","정상(200)","정상",""
"3","대표홈페이지","HTTP 직접요청","행사앨범 | 과학원소식 | 기관소개 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/usr/nihhs/news_Album_list.do?mc=MN0000000138","정상(200)","정상",""
"4","대표홈페이지","HTTP 직접요청","일반자료실 | 과학원소식 | 기관소개 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/usr/persnal/Pds_list.do?mc=MN0000000140","정상(200)","정상",""
"5","대표홈페이지","HTTP 직접요청","주간농사정보 | 기술활용 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/farmer/techInfo/weekFarmerInfo.do?mc=MN0000000030","정상(200)","정상",""
"6","대표홈페이지","HTTP 직접요청","원예특작연구동향 | 기술활용 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/farmer/techInfo/rctAgriTechList.do?mc=MN0000000024","정상(200)","정상",""
"7","대표홈페이지","HTTP 직접요청","농업기술간행물 | 기술활용 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/usr/nihhs/news_Public_list.do?mc=MN0000000025","정상(200)","정상",""
"8","대표홈페이지","HTTP 직접요청","주요연구성과(연보) | 연구성과 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/farmer/rdRslt/rdMajorRsltList.do?mc=MN0000000039","정상(200)","정상",""
"9","대표홈페이지","HTTP 직접요청","품종정보 | 연구성과 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/farmer/rdRslt/newBreedInfo.do?mc=MN0000000040","정상(200)","정상",""
"10","대표홈페이지","HTTP 직접요청","영농활용 | 연구성과 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/farmer/rdRslt/rdFarmingApplyList.do?mc=MN0000000041","정상(200)","정상",""
"11","대표홈페이지","HTTP 직접요청","시험연구보고서 | 연구성과 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/usr/farmer/examResearchReportList.do?mc=MN0000000046","정상(200)","정상",""
"12","대표홈페이지","HTTP 직접요청","자체감사결과 | 정보공개방 | 정보공개 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/usr/info/Room.do?t_cd=3&mc=MN0000000019","정상(200)","정상",""
"13","대표홈페이지","HTTP 직접요청","기타 | 정보공개방 | 정보공개 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/usr/info/Room.do?t_cd=4&mc=MN0000000021","정상(200)","정상",""
"14","대표홈페이지","HTTP 직접요청","공공데이터개방 | 정보공개 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/usr/info/Open_data.do?mc=MN0000000022","정상(200)","정상",""
"15","대표홈페이지","HTTP 직접요청","제목확인불가(JS렌더링)","https://www.nihhs.go.kr/usr/persnal/HealingIssue_list.do?mc=MN0000000054","정상(200)","정상","Live Content - 접속 자체는 성공. 제목은 JS 렌더링 필요"
"16","대표홈페이지","HTTP 직접요청","치유농업 연구성과 | 치유농업 | 치유·도시농업 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/usr/persnal/HealingResearch_list.do?mc=MN0000000055","정상(200)","정상",""
"17","대표홈페이지","HTTP 직접요청","치유농업 참고자료 | 치유농업 | 치유·도시농업 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/usr/persnal/HealingRef_list.do?mc=MN0000000058","정상(200)","정상",""
"18","대표홈페이지","HTTP 직접요청","법령 | 행정정보 | 민원/행정 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/usr/civil/inform_Statute.do?mc=MN0000000113","정상(200)","정상",""
"19","대표홈페이지","HTTP 직접요청","항공마일리지 사용내역 | 행정정보 | 민원/행정 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/usr/civil/inform_Mileage_list.do?mc=MN0000000115","정상(200)","정상",""
"20","대표홈페이지","HTTP 직접요청","홈페이지 개선의견창구 | 길라잡이 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/usr/extras/selectHomepageIncnvList.do?mc=MN0000000156","정상(200)","정상",""
"21","대표홈페이지","HTTP 직접요청","식물추출물분양 | 연구성과 | 홈 | 국립원예특작과학원","https://www.nihhs.go.kr/usr/extract/extractInfo.do?mc=MN0000000049","정상(200)","정상",""
"22","과수생육시스템","HTTP 직접요청","제목확인불가(JS렌더링)","https://fruit.nihhs.go.kr/","정상(200)","정상","Live Content - 접속 자체는 성공"
"23","과수생육시스템","HTTP 직접요청","제목확인불가(JS렌더링)","https://fruit.nihhs.go.kr/apple/grwhInfo_eclnBlpr.do","정상(200)","정상","Live Content - 접속 자체는 성공"
"24","과수생육시스템","HTTP 직접요청","제목확인불가(JS렌더링)","https://fruit.nihhs.go.kr/pear/grwhInfo_eclnBlpr.do","정상(200)","정상","Live Content - 접속 자체는 성공"
"25","과수생육시스템","HTTP 직접요청","제목확인불가(JS렌더링)","https://fruit.nihhs.go.kr/peach/grwhInfo_eclnBlpr.do","정상(200)","정상","Live Content - 접속 자체는 성공"
"26","과수생육시스템","HTTP 직접요청","제목확인불가(JS렌더링)","https://fruit.nihhs.go.kr/grape/grwhInfo_eclnBlpr.do","정상(200)","정상","Live Content - 접속 자체는 성공"
"27","과수생육시스템","HTTP 직접요청","제목확인불가(JS렌더링)","https://fruit.nihhs.go.kr/citrus/grwhInfo_eclnBlpr.do","정상(200)","정상","Live Content - 접속 자체는 성공"
